# AveragePeopleAtBusStops,AverageWaitTime
5.075000,30.762572
5.125000,31.056447
5.150000,31.264308
5.200000,31.528872
5.225000,31.662659
5.250000,31.952649
5.250000,32.146473
5.300000,32.447187
5.300000,32.602518
5.375000,32.905934
5.375000,33.134888
5.425000,33.187205
5.475000,32.544336
5.500000,32.409676
5.350000,32.196801
5.300000,31.650008
5.250000,31.386779
5.275000,31.497800
5.250000,31.511591
5.200000,30.886611
5.150000,30.186014
5.075000,29.179518
5.050000,29.402484
5.025000,28.716815
5.025000,28.208773
5.050000,27.988364
5.150000,28.342602
5.075000,27.914874
5.100000,28.173779
5.100000,28.337446
5.075000,27.005727
5.100000,26.470994
5.000000,25.093528
5.025000,25.129926
4.950000,24.608773
4.950000,24.873760
4.975000,24.745025
5.000000,25.109541
5.025000,25.388012
5.075000,25.674361
5.125000,25.896371
5.200000,26.192197
5.200000,26.443420
5.225000,26.708369
5.250000,27.012389
5.250000,26.848376
5.175000,26.851349
5.150000,27.084869
5.150000,27.236039
5.150000,27.449783
5.225000,27.663887
5.275000,27.963179
5.275000,28.299745
5.250000,28.552457
5.275000,28.774009
5.275000,29.072765
5.300000,29.013402
5.300000,29.161848
5.300000,29.400057
5.200000,28.714471
5.225000,28.475988
5.225000,28.453827
5.075000,28.083517
4.950000,28.209643
4.950000,28.640384
4.875000,28.825110
4.925000,29.210243
4.950000,29.308059
5.050000,29.544120
5.075000,29.771244
5.125000,30.008738
5.150000,30.267995
5.175000,30.529916
5.125000,29.846537
5.100000,29.753970
5.125000,29.920208
5.150000,30.120567
5.150000,30.343916
5.150000,30.583614
5.175000,30.943599
5.200000,31.311440
5.200000,31.418230
5.275000,31.641412
5.325000,31.809602
5.425000,32.116410
5.425000,32.385630
5.450000,32.564065
5.525000,32.748545
5.600000,33.007509
5.575000,33.285125
5.575000,32.892400
5.575000,33.017815
5.550000,33.075200
5.500000,32.903872
5.525000,33.148598
5.500000,33.271084
5.525000,33.571259
5.475000,34.079656
5.475000,34.487488
5.600000,34.802800
5.525000,34.749042
5.450000,34.664823
5.525000,35.139023
5.550000,35.412597
5.600000,35.687860
5.675000,35.930276
5.725000,36.190868
5.750000,36.626694
5.725000,36.313096
5.725000,36.533595
5.675000,35.982014
5.675000,36.026609
5.575000,36.063159
5.550000,36.138940
5.500000,36.077490
5.500000,36.304162
5.525000,36.550090
5.525000,36.831338
5.500000,36.974763
5.450000,36.066397
5.425000,35.634072
5.400000,35.140489
5.450000,35.060708
5.500000,35.139081
5.500000,35.066625
5.550000,35.181578
5.575000,35.384474
5.575000,35.556808
5.600000,35.799711
5.625000,35.945353
5.700000,36.231103
5.725000,36.534736
5.700000,36.706966
5.775000,37.055462
5.800000,37.271880
5.850000,37.402900
5.925000,37.659282
5.950000,37.989908
5.950000,38.395039
5.950000,38.651160
5.975000,38.904147
6.025000,39.014052
6.075000,39.405008
6.025000,38.435017
6.075000,38.370704
6.050000,38.353326
6.050000,38.583898
6.025000,38.823453
6.000000,38.924371
6.050000,39.275672
6.050000,39.640136
6.000000,39.341020
6.000000,39.475819
6.050000,39.938303
5.975000,40.165071
5.950000,40.321476
6.000000,40.866388
5.975000,40.426411
5.925000,39.681507
5.925000,39.397629
5.875000,39.038945
5.875000,38.577242
5.925000,38.470371
5.950000,38.365306
5.975000,38.371192
5.975000,38.407859
6.000000,38.430183
6.025000,38.367667
6.100000,38.659623
6.100000,38.091039
6.150000,38.292542
6.125000,37.567731
6.100000,37.296934
6.150000,37.660771
6.125000,37.609327
6.125000,37.994911
6.075000,37.968781
6.100000,38.352341
5.975000,37.233078
5.975000,37.315271
6.000000,37.672787
6.025000,38.087668
6.025000,38.420943
6.025000,38.728722
6.050000,39.187059
6.000000,38.632886
6.000000,38.645226
5.975000,38.679438
5.900000,38.439838
5.800000,37.619252
5.825000,37.384868
5.800000,37.366111
5.775000,37.320036
5.700000,37.289743
5.600000,37.065640
5.575000,37.390942
5.575000,37.725422
5.575000,38.034412
5.600000,38.353638
5.575000,38.163363
5.550000,38.193994
5.550000,38.312408
5.575000,38.463537
5.575000,38.665817
5.550000,38.916967
5.550000,39.035037
5.550000,37.485255
5.500000,36.660281
5.425000,35.785596
5.400000,35.386997
5.400000,35.395077
5.400000,35.321261
5.500000,35.378978
5.525000,35.405836
5.525000,35.548216
5.600000,35.818764
5.625000,36.065104
5.650000,36.565791
5.600000,35.826326
5.650000,35.790195
5.625000,35.725876
5.625000,35.592736
5.675000,35.583380
5.675000,35.542581
5.700000,35.576437
5.675000,35.698836
5.675000,35.919960
5.650000,36.048900
5.700000,36.284148
5.725000,36.469213
5.775000,36.732302
5.800000,36.829640
5.875000,37.181365
5.925000,37.478804
5.875000,37.044410
5.875000,36.967687
5.825000,36.864701
5.800000,36.942372
5.725000,36.861220
5.775000,37.108611
5.825000,37.440309
5.900000,37.806205
5.950000,38.293200
5.950000,38.495707
5.975000,38.815829
5.975000,38.995284
6.025000,39.261947
6.050000,39.466668
6.100000,39.648094
6.150000,39.544680
6.300000,39.744523
6.250000,39.936897
6.275000,40.379171
6.275000,40.793171
6.300000,40.998928
6.375000,41.238873
6.425000,41.540774
6.450000,41.757347
6.500000,41.934938
6.600000,42.183983
6.650000,42.286940
6.725000,42.510166
6.800000,42.766568
6.850000,43.116817
6.775000,42.389368
6.750000,42.372792
6.625000,42.124250
6.600000,42.205592
6.625000,42.155648
6.475000,40.070969
6.375000,38.978941
6.325000,38.249073
6.275000,37.811031
6.300000,38.179642
6.225000,38.113324
6.225000,38.537834
6.225000,38.749807
6.200000,39.287600
6.200000,39.545922
6.150000,38.857717
6.125000,37.933372
6.150000,38.009964
6.100000,37.093950
6.050000,37.008593
5.950000,36.184916
5.875000,35.688758
5.875000,35.409359
5.875000,35.355385
5.825000,35.359577
5.825000,35.279054
5.850000,35.258067
5.875000,35.264769
5.875000,35.271857
5.850000,35.199963
5.875000,35.297449
5.900000,35.547496
5.925000,35.813725
5.950000,36.056203
5.975000,36.203337
6.050000,36.426395
6.100000,36.689053
6.150000,36.971810
6.175000,37.191284
6.225000,37.273338
6.275000,37.430262
6.300000,37.664574
6.350000,38.203545
6.350000,38.503367
6.400000,38.873358
6.400000,39.292285
6.400000,39.672239
6.400000,39.844171
6.475000,40.028419
6.500000,40.324655
6.500000,40.660607
6.475000,40.882094
6.400000,41.025549
6.375000,41.309843
6.375000,41.611083
6.375000,42.095544
6.400000,42.676656
6.400000,43.447224
6.375000,42.948598
6.350000,41.877644
6.325000,41.897770
6.300000,41.497646
6.275000,41.894701
6.200000,41.704868
6.175000,41.946484
6.125000,41.345473
6.200000,41.812286
6.225000,42.307766
6.175000,41.819904
6.175000,41.623915
6.150000,41.431290
6.100000,41.735715
6.150000,41.984492
6.175000,42.322766
6.200000,42.630953
6.225000,42.966636
6.225000,43.231857
6.300000,43.520479
6.325000,43.724059
6.375000,44.065318
6.375000,44.356703
6.400000,44.629192
6.425000,44.884976
6.450000,45.178391
6.475000,45.473005
6.500000,45.643882
6.550000,45.808701
6.625000,46.158221
6.625000,46.351058
6.675000,46.629496
6.700000,46.894934
6.725000,47.124070
6.700000,46.565353
6.675000,46.706815
6.650000,46.821000
6.600000,46.843231
6.575000,47.120995
6.550000,47.473443
6.550000,47.588786
6.600000,47.787887
6.600000,47.952804
6.550000,48.172919
6.525000,48.621556
6.625000,49.006204
6.675000,49.361104
6.725000,49.693740
6.750000,49.989178
6.775000,50.342775
6.775000,50.676794
6.800000,51.031380
6.725000,50.334728
6.700000,50.062786
6.600000,49.234925
6.625000,49.662270
6.600000,49.988918
6.675000,50.423048
6.700000,50.860322
6.700000,51.389522
6.700000,51.576826
6.675000,50.787570
6.650000,50.429582
6.725000,50.743420
6.775000,50.996369
6.800000,51.421908
6.825000,51.850836
6.850000,52.358956
6.850000,52.658844
6.875000,52.929684
6.850000,53.247023
6.875000,53.766833
6.875000,54.126817
6.875000,54.472878
6.850000,54.314111
6.825000,54.324025
6.850000,54.416408
6.850000,54.531788
6.850000,54.362923
6.950000,54.415496
6.975000,54.473748
6.925000,54.668465
6.925000,55.028339
6.925000,55.181101
6.950000,55.436275
6.975000,55.747569
7.000000,56.109183
7.000000,56.306966
7.025000,56.629034
7.100000,56.895475
7.125000,57.064932
7.200000,57.311322
7.300000,57.590212
7.325000,57.865312
7.350000,57.948900
7.375000,58.323937
7.325000,58.738057
7.325000,59.294670
7.325000,59.767204
7.350000,60.039446
7.350000,60.224687
7.375000,60.401794
7.425000,60.677062
7.450000,60.866180
7.425000,60.078942
7.375000,59.663204
7.375000,59.464958
7.375000,59.691930
7.375000,59.931464
7.375000,60.134982
7.425000,60.438758
7.500000,60.947406
7.500000,61.391668
7.400000,61.285192
7.400000,61.719970
7.425000,62.258189
7.450000,62.676470
7.500000,62.993210
7.550000,63.331344
7.600000,63.606273
7.625000,63.884782
7.675000,64.061605
7.725000,64.447286
7.725000,65.010427
7.700000,64.257058
7.725000,64.236903
7.750000,64.057369
7.800000,64.135428
7.775000,64.206438
7.800000,64.218071
7.825000,64.308651
7.850000,64.541499
7.850000,64.676253
7.900000,64.871188
7.925000,65.229858
7.925000,65.534100
7.950000,65.817980
7.975000,66.210522
7.975000,66.603066
7.950000,66.690985
7.900000,66.641352
7.900000,67.090147
7.850000,67.177753
7.875000,67.623981
7.850000,67.680048
7.925000,67.993014
7.975000,68.274791
8.025000,68.592973
8.050000,69.011118
8.100000,69.293573
8.150000,69.693316
8.150000,70.061181
8.175000,70.225116
8.250000,70.365380
8.350000,70.573254
8.400000,70.867644
8.425000,71.163339
8.450000,71.336721
8.450000,70.948363
8.425000,70.969062
8.425000,71.290526
8.425000,71.773889
8.400000,72.065105
8.450000,72.652245
