# Step,AveragePeopleAtBusStops,AverageWaitTime
846.000000,18.750000,107.378205
847.000000,18.750000,107.220065
848.000000,18.750000,106.045307
849.000000,18.750000,105.292208
850.000000,18.750000,104.605863
851.000000,18.625000,103.671010
852.000000,18.625000,104.169381
853.000000,18.625000,104.667752
854.000000,18.625000,105.166124
855.000000,18.625000,105.664495
856.000000,18.625000,105.475728
857.000000,18.750000,105.635484
858.000000,18.875000,106.138710
859.000000,18.875000,106.289389
860.000000,19.000000,106.794212
861.000000,19.000000,107.299035
862.000000,19.000000,107.458333
863.000000,19.125000,107.964744
864.000000,19.125000,108.471154
865.000000,19.125000,108.977564
866.000000,19.125000,109.483974
867.000000,19.125000,109.638978
868.000000,19.250000,109.796178
869.000000,19.375000,110.305732
870.000000,19.375000,110.815287
871.000000,19.375000,111.324841
872.000000,19.375000,111.834395
873.000000,19.375000,111.987302
874.000000,19.375000,112.498413
875.000000,19.375000,113.009524
876.000000,19.375000,112.449686
877.000000,19.750000,112.965409
878.000000,19.750000,112.420561
879.000000,20.125000,112.590062
880.000000,20.125000,113.111801
881.000000,19.750000,112.217391
882.000000,19.375000,112.145963
883.000000,19.000000,112.647975
884.000000,18.750000,113.771160
885.000000,18.625000,114.603774
886.000000,18.625000,116.200000
887.000000,18.500000,113.801917
888.000000,18.625000,113.192926
889.000000,18.750000,112.980519
890.000000,18.750000,112.777049
891.000000,18.625000,111.842105
892.000000,18.500000,110.914191
893.000000,18.375000,110.125828
894.000000,18.250000,109.345515
895.000000,18.125000,108.318937
896.000000,18.125000,108.466887
897.000000,18.250000,108.976821
898.000000,18.250000,109.125413
899.000000,18.375000,109.636964
900.000000,18.375000,110.148515
901.000000,18.375000,110.296053
902.000000,18.500000,110.445902
903.000000,18.625000,110.960656
904.000000,18.625000,111.111111
905.000000,18.375000,106.970779
906.000000,18.250000,105.250000
907.000000,18.125000,104.996743
908.000000,18.000000,104.741830
909.000000,17.875000,104.629508
910.000000,17.750000,104.509868
911.000000,17.625000,105.426667
912.000000,17.500000,105.651007
913.000000,17.500000,106.508418
914.000000,17.625000,107.375000
915.000000,17.625000,107.881757
916.000000,17.625000,109.129252
917.000000,17.625000,110.017065
918.000000,17.750000,111.295533
919.000000,17.750000,111.434932
920.000000,17.875000,111.958904
921.000000,17.875000,111.717687
922.000000,18.000000,112.241497
923.000000,18.000000,112.386441
