# Step,PedestrianCount,AveragePeopleAtBusStops,AverageWaitTime
452.000000,240.000000,16.125000,83.795833
453.000000,240.000000,16.250000,84.333333
454.000000,240.000000,16.250000,84.879167
455.000000,240.000000,16.250000,85.425000
456.000000,240.000000,16.250000,85.970833
457.000000,240.000000,16.250000,86.516667
458.000000,240.000000,16.250000,87.062500
459.000000,242.000000,16.250000,86.884298
460.000000,243.000000,16.500000,87.074074
461.000000,243.000000,16.625000,87.625514
462.000000,243.000000,16.625000,88.176955
463.000000,243.000000,16.625000,88.728395
464.000000,243.000000,16.625000,89.279835
465.000000,243.000000,16.625000,89.831276
466.000000,244.000000,16.625000,90.012295
467.000000,245.000000,16.750000,90.195918
468.000000,246.000000,16.875000,90.382114
469.000000,247.000000,16.875000,90.566802
470.000000,248.000000,17.000000,90.754032
471.000000,249.000000,17.125000,90.943775
472.000000,250.000000,17.250000,91.136000
473.000000,251.000000,17.375000,91.330677
474.000000,252.000000,17.500000,91.527778
475.000000,253.000000,17.625000,91.727273
476.000000,254.000000,17.750000,91.929134
477.000000,255.000000,17.875000,92.133333
478.000000,255.000000,17.875000,92.701961
479.000000,255.000000,17.875000,93.262745
480.000000,257.000000,17.875000,93.101167
481.000000,259.000000,18.000000,92.945946
482.000000,257.000000,18.000000,93.237354
483.000000,257.000000,17.750000,91.933852
484.000000,255.000000,17.750000,93.219608
485.000000,255.000000,17.500000,92.019608
486.000000,254.000000,17.500000,92.940945
487.000000,254.000000,17.375000,92.161417
488.000000,253.000000,17.375000,93.083004
489.000000,254.000000,17.250000,92.370079
490.000000,253.000000,17.250000,93.288538
491.000000,255.000000,17.125000,92.596078
492.000000,255.000000,17.375000,93.149020
493.000000,255.000000,17.375000,93.701961
494.000000,256.000000,17.375000,93.886719
495.000000,256.000000,17.500000,94.441406
496.000000,256.000000,17.500000,94.996094
497.000000,256.000000,17.500000,95.550781
498.000000,256.000000,17.500000,96.105469
499.000000,256.000000,17.500000,96.660156
500.000000,257.000000,17.500000,96.836576
501.000000,258.000000,17.625000,97.015504
502.000000,260.000000,17.750000,96.823077
503.000000,261.000000,17.875000,97.011494
504.000000,262.000000,18.000000,97.202290
505.000000,264.000000,18.125000,97.026515
506.000000,265.000000,18.250000,97.226415
507.000000,265.000000,17.875000,96.090566
508.000000,267.000000,17.625000,95.014981
509.000000,267.000000,17.625000,94.880150
510.000000,267.000000,17.375000,94.865169
511.000000,267.000000,17.125000,94.906367
512.000000,267.000000,16.875000,95.101124
513.000000,267.000000,16.625000,95.363296
514.000000,268.000000,16.375000,95.361940
515.000000,268.000000,16.375000,95.873134
516.000000,268.000000,16.375000,96.384328
517.000000,268.000000,16.375000,96.895522
518.000000,268.000000,16.375000,97.406716
519.000000,270.000000,16.375000,97.192593
520.000000,270.000000,16.625000,97.707407
521.000000,270.000000,16.625000,98.222222
522.000000,270.000000,16.625000,98.737037
523.000000,270.000000,16.625000,99.251852
524.000000,271.000000,16.625000,99.398524
525.000000,273.000000,16.750000,99.183150
526.000000,273.000000,16.875000,99.703297
527.000000,273.000000,16.875000,100.223443
528.000000,274.000000,16.875000,100.375912
529.000000,274.000000,17.000000,100.897810
530.000000,276.000000,17.000000,100.684783
531.000000,277.000000,17.125000,100.844765
532.000000,277.000000,17.125000,101.371841
533.000000,279.000000,17.125000,101.168459
534.000000,281.000000,17.250000,100.971530
535.000000,278.000000,17.375000,102.593525
536.000000,279.000000,17.125000,98.931900
537.000000,279.000000,17.375000,97.053763
538.000000,278.000000,17.500000,95.913669
539.000000,278.000000,17.500000,94.600719
540.000000,277.000000,17.625000,93.606498
541.000000,278.000000,17.625000,92.050360
542.000000,277.000000,17.625000,91.270758
543.000000,277.000000,17.625000,90.133574
544.000000,276.000000,17.750000,89.221014
545.000000,276.000000,17.750000,88.025362
546.000000,276.000000,17.750000,88.539855
547.000000,277.000000,17.750000,88.732852
548.000000,277.000000,17.875000,89.249097
549.000000,277.000000,17.875000,89.765343
550.000000,277.000000,17.875000,90.281588
551.000000,274.000000,17.875000,91.791971
552.000000,275.000000,17.625000,88.392727
553.000000,274.000000,17.625000,87.485401
554.000000,273.000000,17.500000,86.619048
555.000000,274.000000,17.375000,85.226277
556.000000,274.000000,17.500000,84.186131
557.000000,274.000000,17.500000,83.175182
558.000000,272.000000,17.500000,84.301471
559.000000,273.000000,17.375000,84.161172
560.000000,273.000000,17.375000,84.578755
561.000000,273.000000,17.375000,85.025641
562.000000,273.000000,17.375000,85.512821
563.000000,272.000000,17.375000,86.323529
564.000000,271.000000,17.250000,87.143911
565.000000,269.000000,17.250000,88.304833
566.000000,268.000000,17.250000,89.149254
567.000000,268.000000,17.375000,89.667910
568.000000,266.000000,17.625000,90.872180
569.000000,266.000000,17.625000,91.402256
570.000000,268.000000,17.625000,91.246269
571.000000,269.000000,17.875000,91.438662
572.000000,269.000000,18.000000,91.973978
573.000000,270.000000,18.000000,92.166667
574.000000,272.000000,18.125000,92.022059
575.000000,272.000000,18.375000,92.562500
576.000000,273.000000,18.000000,91.157509
577.000000,274.000000,17.875000,90.514599
578.000000,273.000000,17.750000,91.014652
579.000000,273.000000,17.625000,91.318681
580.000000,269.000000,17.625000,93.033457
581.000000,270.000000,17.250000,92.018519
582.000000,267.000000,17.250000,93.164794
583.000000,264.000000,17.250000,94.443182
584.000000,263.000000,17.125000,95.030418
585.000000,262.000000,17.000000,95.702290
586.000000,261.000000,16.875000,96.444444
587.000000,261.000000,16.875000,96.965517
588.000000,262.000000,16.875000,97.114504
589.000000,262.000000,17.000000,97.641221
590.000000,263.000000,17.000000,97.794677
591.000000,263.000000,17.125000,98.323194
592.000000,265.000000,17.125000,98.105660
593.000000,266.000000,17.250000,98.266917
594.000000,269.000000,17.250000,97.698885
595.000000,269.000000,17.500000,98.219331
596.000000,270.000000,17.500000,98.392593
597.000000,271.000000,17.625000,98.568266
598.000000,271.000000,17.625000,99.107011
599.000000,271.000000,17.625000,99.645756
600.000000,272.000000,17.625000,99.816176
601.000000,272.000000,17.750000,100.356618
602.000000,272.000000,17.750000,100.897059
603.000000,272.000000,17.750000,101.437500
604.000000,272.000000,17.750000,101.977941
605.000000,272.000000,17.750000,102.518382
606.000000,273.000000,17.750000,102.681319
607.000000,273.000000,17.875000,103.223443
608.000000,274.000000,17.875000,103.386861
609.000000,276.000000,18.000000,103.177536
610.000000,278.000000,18.125000,102.978417
611.000000,279.000000,18.250000,103.157706
612.000000,280.000000,18.375000,103.339286
613.000000,280.000000,18.500000,103.892857
614.000000,281.000000,18.500000,104.074733
615.000000,281.000000,18.250000,101.669039
616.000000,280.000000,18.125000,101.650000
617.000000,279.000000,18.000000,101.713262
618.000000,279.000000,17.875000,101.426523
619.000000,281.000000,17.500000,100.957295
620.000000,281.000000,17.250000,101.362989
621.000000,281.000000,17.250000,101.886121
622.000000,281.000000,17.250000,102.409253
623.000000,281.000000,17.250000,102.932384
624.000000,282.000000,17.250000,103.088652
625.000000,282.000000,17.375000,103.613475
626.000000,282.000000,17.375000,104.138298
627.000000,283.000000,17.375000,104.293286
628.000000,283.000000,17.500000,104.819788
629.000000,283.000000,17.500000,105.346290
630.000000,284.000000,17.500000,105.500000
631.000000,285.000000,17.625000,105.656140
632.000000,285.000000,17.625000,106.185965
633.000000,286.000000,17.625000,106.342657
634.000000,287.000000,17.625000,106.501742
635.000000,287.000000,17.750000,107.034843
636.000000,287.000000,17.750000,107.567944
637.000000,287.000000,17.750000,108.101045
638.000000,285.000000,17.750000,109.396491
639.000000,285.000000,17.625000,106.828070
640.000000,284.000000,17.750000,106.017606
641.000000,283.000000,17.750000,105.254417
642.000000,282.000000,17.750000,104.677305
643.000000,283.000000,17.750000,103.325088
644.000000,284.000000,17.875000,103.485915
645.000000,284.000000,18.000000,104.014085
646.000000,284.000000,18.000000,104.542254
647.000000,284.000000,17.625000,104.690141
648.000000,284.000000,17.500000,105.172535
649.000000,282.000000,17.625000,106.439716
